Compound,OSA,OSB,OSC,EA,EB,EC,CAN,CNB,CNC,IRA,IRB,IRC,DA,DB,DC,BANDGAP
SbYS3,5,3,-2,2.05,1.22,2.58,9,6,8,7.60E-11,1.02E-10,1.84E-10,6.68,4.47,2.07,2.09
MgZrS3,2,4,-2,1.21,1.33,2.58,9,6,8,7.20E-11,8.40E-11,1.84E-10,1.74,6.4,2.07,2.32
TaLiS3,5,1,-2,1.5,0.98,2.58,9,6,8,6.40E-11,7.60E-11,1.84E-10,16.6,0.53,2.07,2
HfPbS3,4,4,-2,1.3,2.33,2.58,6,6,8,8.30E-11,1.19E-10,1.84E-10,13.2,11.34,2.07,1.63
CaHfS3,2,4,-2,1,1.3,2.58,9,6,8,1.00E-10,8.30E-11,1.84E-10,1.55,13.2,2.07,0.99
BiTlS3,5,1,-2,1.9,1.62,2.58,9,6,8,1.03E-10,1.59E-10,1.84E-10,9.8,11.85,2.07,1.98
BaTeS3,2,4,-2,0.89,2.1,2.58,9,6,8,1.42E-10,9.70E-11,1.84E-10,3.51,6.24,2.07,1
AgFeS3,1,3,-2,1.9,1.83,2.58,8,6,2,1.15E-10,5.50E-11,1.84E-10,10.5,7.86,2.07,1.7
AgHfS3,1,4,-2,1.9,1.3,2.58,8,6,2,1.15E-10,8.30E-11,1.84E-10,10.5,13.2,2.07,2.3
AgISe3,1,5,-2,1.9,2.2,2.5,8,6,3,1.15E-10,2.20E-10,5.00E-11,10.5,4.93,4.97,1.4
AgITe3,1,5,-2,1.9,2.2,2.1,8,6,4,1.15E-10,2.20E-10,9.70E-11,10.5,4.93,6.24,1
AgInTe3,1,3,-2,1.9,1.78,2.1,8,6,4,1.15E-10,1.04E-10,9.70E-11,10.5,7.3,6.24,1.7
AgPS3,1,5,-2,1.9,2.19,2.58,6,4,3,1.15E-10,1.70E-11,1.84E-10,10.5,1.82,2.07,1.32
