OSA;OSB;EA;EC;CNA;IRA;IRC;DC;BANDGAP
0.25;0.6000000000000001;0.06493506493506496;1.0000000000000002;1.0;0.7621951219512196;0.6716417910447763;0.0;2.14
0.25;0.6000000000000001;0.06493506493506496;1.0000000000000002;1.0;0.7621951219512196;0.6716417910447763;0.0;3.04
0.25;0.6000000000000001;0.06493506493506496;0.35820895522388074;1.0;0.7621951219512196;1.0;0.33157769623844946;1.02
0.0;0.8;0.7207792207792206;0.35820895522388074;0.3333333333333333;0.3414634146341464;1.0;0.33157769623844946;0.98
0.0;0.8;0.0;0.33582089552238803;1.0;1.0;0.0;0.7675749783083338;1.47
0.0;0.8;0.0;0.35820895522388074;1.0;0.9573170731707318;1.0;0.33157769623844946;0.73
0.0;0.8;0.0;1.0000000000000002;1.0;0.9573170731707318;0.6716417910447763;0.0;1.863
0.25;0.8;0.13636363636363635;1.0000000000000002;1.0;0.5060975609756099;0.6716417910447763;0.0;5.7
0.25;0.6000000000000001;0.13636363636363635;1.0000000000000002;1.0;0.6646341463414636;0.6716417910447763;0.0;3.54
0.25;0.6000000000000001;0.13636363636363635;1.0000000000000002;1.0;0.6646341463414636;0.6716417910447763;0.0;5.6
1.0;0.6000000000000001;0.9025974025974027;0.33582089552238803;0.0;0.25;0.0;0.7675749783083338;0.57
0.5;0.6000000000000001;0.7207792207792206;0.35820895522388074;0.3333333333333333;0.5243902439024392;1.0;0.33157769623844946;0.9
0.5;0.4000000000000001;0.6428571428571429;0.35820895522388074;0.0;0.38414634146341464;1.0;0.33157769623844946;0.76
0.5;0.4000000000000001;0.6428571428571429;0.33582089552238803;0.3333333333333333;0.38414634146341464;0.0;0.7675749783083338;0.73
0.5;0.6000000000000001;0.6428571428571429;0.33582089552238803;0.3333333333333333;0.38414634146341464;0.0;0.7675749783083338;0.91
1.0;0.6000000000000001;0.818181818181818;0.33582089552238803;0.0;0.3597560975609756;0.0;0.7675749783083338;0.53
0.5;0.4000000000000001;0.9025974025974027;0.35820895522388074;0.3333333333333333;0.25;1.0;0.33157769623844946;1.03
1.0;0.4000000000000001;0.9090909090909091;0.33582089552238803;0.1111111111111111;0.0;0.0;0.7675749783083338;0.66
1.0;0.0;0.9025974025974027;0.33582089552238803;0.0;0.25;0.0;0.7675749783083338;0.91
1.0;0.0;0.9025974025974027;0.33582089552238803;0.0;0.25;0.0;0.7675749783083338;0.5
1.0;0.0;0.9025974025974027;0.35820895522388074;0.0;0.18597560975609753;1.0;0.33157769623844946;0.88
0.0;0.8;0.9025974025974027;0.33582089552238803;0.0;0.18597560975609753;0.0;0.7675749783083338;0.42
1.0;0.0;0.9025974025974027;0.33582089552238803;0.0;0.18597560975609753;0.0;0.7675749783083338;0.49
1.0;0.0;0.7207792207792206;0.33582089552238803;0.0;0.5243902439024392;0.0;0.7675749783083338;0.94
1.0;0.4000000000000001;0.7207792207792206;0.33582089552238803;0.3333333333333333;0.5243902439024392;0.0;0.7675749783083338;0.74
1.0;0.0;0.7207792207792206;0.33582089552238803;0.0;0.5243902439024392;0.0;0.7675749783083338;0.84
0.75;0.2;0.792207792207792;0.35820895522388074;0.1111111111111111;0.21951219512195122;1.0;0.33157769623844946;0.78
0.5;0.4000000000000001;0.6428571428571429;0.33582089552238803;0.3333333333333333;0.38414634146341464;0.0;0.7675749783083338;1.06
0.5;0.4000000000000001;0.6428571428571429;0.33582089552238803;0.5555555555555556;0.38414634146341464;0.0;0.7675749783083338;0.87
1.0;0.4000000000000001;0.9090909090909091;0.33582089552238803;0.1111111111111111;0.0;0.0;0.7675749783083338;0.54
1.0;0.0;0.818181818181818;0.33582089552238803;0.3333333333333333;0.3597560975609756;0.0;0.7675749783083338;1.17
1.0;0.0;0.818181818181818;0.33582089552238803;0.3333333333333333;0.3597560975609756;0.0;0.7675749783083338;0.77
1.0;0.0;0.818181818181818;0.33582089552238803;0.3333333333333333;0.3597560975609756;0.0;0.7675749783083338;0.57
1.0;0.0;0.818181818181818;0.35820895522388074;0.3333333333333333;0.3597560975609756;1.0;0.33157769623844946;1.05
1.0;0.4000000000000001;0.818181818181818;0.33582089552238803;0.3333333333333333;0.3597560975609756;0.0;0.7675749783083338;0.58
1.0;0.0;0.7207792207792206;0.33582089552238803;0.3333333333333333;0.5243902439024392;0.0;0.7675749783083338;0.87
1.0;0.0;0.7207792207792206;0.35820895522388074;0.3333333333333333;0.5243902439024392;1.0;0.33157769623844946;0.79
1.0;0.0;0.7207792207792206;0.33582089552238803;0.3333333333333333;0.5243902439024392;0.0;0.7675749783083338;0.75
0.75;0.2;0.792207792207792;0.35820895522388074;0.1111111111111111;0.21951219512195122;1.0;0.33157769623844946;0.73
0.75;0.2;0.792207792207792;0.33582089552238803;0.1111111111111111;0.21951219512195122;0.0;0.7675749783083338;0.92
0.75;0.2;0.7207792207792206;0.33582089552238803;0.3333333333333333;0.29268292682926833;0.0;0.7675749783083338;0.93
0.25;0.6000000000000001;0.13636363636363635;0.35820895522388074;0.5555555555555556;0.5060975609756099;1.0;0.33157769623844946;0.52
0.25;0.6000000000000001;0.13636363636363635;0.33582089552238803;0.3333333333333333;0.6646341463414636;0.0;0.7675749783083338;1.02
0.5;0.4000000000000001;0.2012987012987013;0.35820895522388074;0.3333333333333333;0.603658536585366;1.0;0.33157769623844946;1.79
0.25;0.6000000000000001;0.06493506493506496;0.35820895522388074;0.3333333333333333;0.7621951219512196;1.0;0.33157769623844946;2.01
